interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
TRH_TRHR	Neuropeptide	ligand-receptor	TRH	1	1	TRHR	1	1
GRP_GRPR	Neuropeptide	ligand-receptor	GRP	1	1	GRPR	1	1
NMB_NMBR	Neuropeptide	ligand-receptor	NMB	1	1	NMBR	1	1
NTS_NTSR1	Neuropeptide	ligand-receptor	NTS	1	1	NTSR1	1	1
NTS_NTSR2	Neuropeptide	ligand-receptor	NTS	1	1	NTSR2	1	1
RLN1_RXFP1	Neuropeptide	ligand-receptor	RLN1	1	1	RXFP1	1	1
RLN1_RXFP2	Neuropeptide	ligand-receptor	RLN1	1	1	RXFP2	1	1
RLN1_RXFP3	Neuropeptide	ligand-receptor	RLN1	1	1	RXFP3	1	1
Glu_GRIN3A	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN3A	1	1
Glu_GRIN3B	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN3B	1	1
Glu_GRIA1	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIA1	1	1
Glu_GRIA2	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIA2	1	1
Glu_GRIA3	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIA3	1	1
Glu_GRIA4	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIA4	1	1
Glu_GRM1	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM1	1	1
Glu_GRM5	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM5	1	1
Glu_GRM4	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM4	1	1
Glu_GRM6	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM6	1	1
Glu_GRM7	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM7	1	1
Glu_GRM8	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM8	1	1
Glu_GRM2	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM2	1	1
Glu_GRM3	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRM3	1	1
NRXN1_NLGN1	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NLGN1	1	1
NRXN2_NLGN2	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NLGN2	1	1
NRXN3_NLGN3	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NLGN3	1	1
GABA_GABBR1	Neurotransmitter	ligand-receptor	GAD1-GAD2-SLC32A1	1-1-2	1-1	GABBR1	1	1
GABA_GABBR2	Neurotransmitter	ligand-receptor	GAD1-GAD2-SLC32A1	1-1-2	1-1	GABBR2	1	1
GJA1_GJA1	Gap-junction-protein	ligand-receptor	GJA1	1	1	GJA1	1	1
GJA3_GJA3	Gap-junction-protein	ligand-receptor	GJA3	1	1	GJA3	1	1
GJA4_GJA4	Gap-junction-protein	ligand-receptor	GJA4	1	1	GJA4	1	1
GJA5_GJA5	Gap-junction-protein	ligand-receptor	GJA5	1	1	GJA5	1	1
GJA8_GJA8	Gap-junction-protein	ligand-receptor	GJA8	1	1	GJA8	1	1
GJA10_GJA10	Gap-junction-protein	ligand-receptor	GJA10	1	1	GJA10	1	1
GJB1_GJB1	Gap-junction-protein	ligand-receptor	GJB1	1	1	GJB1	1	1
GJB2_GJB2	Gap-junction-protein	ligand-receptor	GJB2	1	1	GJB2	1	1
GJB3_GJB3	Gap-junction-protein	ligand-receptor	GJB3	1	1	GJB3	1	1
GJB4_GJB4	Gap-junction-protein	ligand-receptor	GJB4	1	1	GJB4	1	1
GJB5_GJB5	Gap-junction-protein	ligand-receptor	GJB5	1	1	GJB5	1	1
GJB6_GJB6	Gap-junction-protein	ligand-receptor	GJB6	1	1	GJB6	1	1
GJC1_GJC1	Gap-junction-protein	ligand-receptor	GJC1	1	1	GJC1	1	1
GJC2_GJC2	Gap-junction-protein	ligand-receptor	GJC2	1	1	GJC2	1	1
GJC3_GJC3	Gap-junction-protein	ligand-receptor	GJC3	1	1	GJC3	1	1
