Source,Receiver,Ligand,Target
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Inhibitory LAMP5 neurons,Excitatory Layer 5-6 IT neurons I,NO,GUCY1A1
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons I,NO,GUCY1A1
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons I,NO,GUCY1A1
Oligodendrocyte progenitor cells,Excitatory Layer 5-6 IT neurons I,NO,GUCY1A1
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 3-4 IT neurons,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 3-6 IT neurons,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 3-6 IT neurons,Glu,GRIA2
Inhibitory PVALB neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a4b3d_complex
Inhibitory VIP neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a4b3d_complex
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 3-4 IT neurons,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 3-6 IT neurons,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 3-6 IT neurons,Glu,Kainate_3_4_complex
Inhibitory PVALB neurons,Inhibitory PVALB neurons,GABA,GABA-A_a6b3g2S_complex
Inhibitory VIP neurons,Inhibitory PVALB neurons,GABA,GABA-A_a6b3g2S_complex
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons I,Glu,GRIA1
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons I,CCK,CCKBR
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons II,CCK,CCKBR
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-4 IT neurons,CCK,CCKBR
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-6 IT neurons,CCK,CCKBR
Inhibitory PVALB neurons,Astrocytes,GABA,GABBR1
Inhibitory VIP neurons,Astrocytes,GABA,GABBR1
Excitatory Layer 2-3 IT neurons I,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 2-3 IT neurons II,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 3-4 IT neurons,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 3-6 IT neurons,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 5-6 CT and NP neurons,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 5-6 IT neurons I,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Excitatory Layer 5-6 IT neurons II,Oligodendrocyte progenitor cells,Glu,Kainate_2_5_complex
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a4b2d_complex
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a4b2d_complex
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a1b3_complex
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABA-A_a1b3_complex
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons I,SST,SSTR1
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons I,CORT,SSTR1
Excitatory Layer 2-3 IT neurons I,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Excitatory Layer 2-3 IT neurons II,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Excitatory Layer 3-4 IT neurons,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Excitatory Layer 3-6 IT neurons,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
Excitatory Layer 5-6 CT and NP neurons,Inhibitory SST neurons,Glu,NMDA_1_2D_complex
